1,3.999,0.000187606,1.928,2.231,5.784,16.509,1.363,7.845,11.732,16.951,23.535,0.757837,0.386043,5.75,209.238,213.78,21.285,169.74,245.629,81,79,0.004691482,0.000520954,36.066,1,18.924,1
2,2.569,0.000191173,1.147,1.307,3.44,11.869,1.087,4.683,7.043,18.503,14.048,0.906936,0.145805,13.094,135.36,133.529,7.66,108.568,140.642,47,44,0.007442037,0.000634061,28.302,2,37.244,1
3,4.661,0.00016161,2.304,2.41,6.911,20.138,1.791,8.695,11.631,12.581,26.086,0.820344,0.24947,7.558,231.789,289.478,116.094,165.567,489.699,127,114,0.003467626,0.001319249,52,4,32.816,1
4,1.054,4.10E-05,0.492,0.531,1.475,9.136,0.877,4.501,5.374,7.922,13.502,0.926035,0.092593,12.63,256.604,256.64,7.856,244.679,268.932,88,86,0.003890197,0.000151707,36.364,1,37.548,1
5,6.572,0.000712761,2.255,1.772,6.764,11.705,1.044,3.7,6.06,15.491,11.099,0.708742,0.470471,4.328,97.65,93.479,12.143,74.76,111.943,18,16,0.01084568,0.001843546,59.459,1,41.728,1
6,2.239,0.000165077,1.243,1.092,3.73,14.424,1.366,5.117,7.451,14.257,15.35,0.893548,0.139683,11.267,138.884,134.793,7.38,117.952,143.807,62,59,0.007373245,0.000437813,34.783,2,25.231,1
7,3.834,0.000310084,1.249,1.435,3.747,17.207,1.486,7.802,8.378,13.0106,23.405,0.763458,0.408738,7.444,121.96,124.471,11.122,107.592,151.097,27,24,0.00808874,0.000838212,47.619,0,0,1
8,2.217,0.000160453,0.976,1.123,2.927,11.703,1.083,5.006,5.327,9.73,15.017,0.907731,0.125082,12.377,138.151,137.764,2.917,129.949,146.161,59,57,0.007237481,0.000355769,30.508,1,18.257,1
9,4.264,0.000401282,1.587,2.451,4.762,14.021,1.381,6.598,9.376,10.55852,19.794,0.738859,0.409895,5.191,102.513,105.063,7.468,96.336,127.316,27,25,0.009411012,0.000861741,50.943,1,34.99,1
10,2.283,0.000161112,1.175,1.265,3.526,18.213,1.506,9.236,11.632,12.553,27.708,0.779449,0.339375,6.232,93.844,175.912,166.448,84.924,499.912,58,45,0.007057396,0.004474931,38.889,2,32.558,1
11,1.924,0.000138084,0.838,1.26,2.514,10.19,1.082,3.575,5.242,12.25,10.726,0.822308,0.283837,9.36,155.014,141.925,29.468,71.591,160.962,56,54,0.007175107,0.001950992,29.091,1,18.345,1
12,4.988,0.000400779,2.438,1.854,7.314,13.886,1.276,5.041,8.799,27.084,15.123,0.760818,0.394267,6.198,123.729,124.418,5.523,114.672,131.335,37,34,0.00803519,0.000588342,37.778,2,27.582,1
13,2.451,0.000112137,1.021,0.653,3.062,19.802,1.375,11.091,20.271,27.25,33.273,0.775042,0.320719,5.751,194.359,218.579,105.818,83.973,495.399,61,55,0.004574661,0.001727423,63.514,2,17.23,1
14,3.638,0.000200708,1.814,1.707,5.443,10.743,1.213,3.647,5.333,10.018,10.941,0.856585,0.20746,11.3,163.709,179.529,31.602,130.945,216.719,84,82,0.005516636,0.001052675,36,1,16.012,1
